meter_id,segment,date,day_of_week,day_of_month,month,is_weekend,is_dry_season,is_term_time,dow_sin,dow_cos,month_sin,month_cos,units_bought,topup_sequence,rolling_avg_7d,rolling_avg_30d,daily_kwh,days_remaining
2,commercial,2024-01-04,3,4,1,0,0,1,0.433884,-0.900969,0.5,0.866025,498.5,1,10.0765,10.0765,11.609,49.5
2,commercial,2024-02-28,2,28,2,0,0,1,0.974928,-0.222521,0.866025,0.5,321.4,2,10.4557,10.2604,12.638,30.7
2,commercial,2024-03-14,3,14,3,0,0,1,0.433884,-0.900969,1.0,0.0,417.8,3,8.8361,9.958,10.436,47.3
2,commercial,2024-05-09,3,9,5,0,1,1,0.433884,-0.900969,0.5,-0.866025,442.9,4,10.2504,9.9688,9.274,43.2
2,commercial,2024-05-13,0,13,5,0,1,1,0.0,1.0,0.5,-0.866025,385.9,5,10.6949,10.1271,11.78,36.1
2,commercial,2024-06-07,4,7,6,0,1,1,-0.433884,-0.900969,0.0,-1.0,305.3,6,10.071,9.9877,11.793,30.3
2,commercial,2024-06-26,2,26,6,0,1,1,0.974928,-0.222521,0.0,-1.0,319.2,7,9.3449,9.9021,6.763,34.2
2,commercial,2024-07-22,0,22,7,0,1,1,0.0,1.0,-0.5,-0.866025,323.2,8,9.4771,9.7916,9.007,34.1
2,commercial,2024-07-26,4,26,7,0,1,1,-0.433884,-0.900969,-0.5,-0.866025,483.4,9,9.2291,9.9232,14.177,52.4
2,commercial,2024-08-16,4,16,8,0,1,0,-0.433884,-0.900969,-0.866025,-0.5,429.7,10,9.3906,9.8791,10.675,45.8
2,commercial,2024-08-29,3,29,8,0,1,0,0.433884,-0.900969,-0.866025,-0.5,382.7,11,10.4854,10.2792,12.284,36.5
2,commercial,2024-09-25,2,25,9,0,0,1,0.974928,-0.222521,-1.0,-0.0,327.8,12,9.5934,9.7998,8.944,34.2
2,commercial,2024-10-02,2,2,10,0,0,1,0.974928,-0.222521,-0.866025,0.5,277.2,13,10.791,9.9543,13.358,25.7
2,commercial,2024-11-15,4,15,11,0,0,1,-0.433884,-0.900969,-0.5,0.866025,347.6,14,10.188,10.5124,10.376,34.1
2,commercial,2024-11-16,5,16,11,1,0,1,-0.974928,-0.222521,-0.5,0.866025,274.2,15,9.8329,10.2451,5.615,27.9
2,commercial,2024-12-18,2,18,12,0,0,0,0.974928,-0.222521,-0.0,1.0,176.3,16,9.2803,9.6099,8.323,19.0
3,commercial,2024-01-07,6,7,1,1,0,1,-0.781831,0.62349,0.5,0.866025,438.0,1,9.3066,9.3066,5.486,47.1
3,commercial,2024-01-19,4,19,1,0,0,1,-0.433884,-0.900969,0.5,0.866025,283.3,2,9.5529,9.7795,11.672,29.7
3,commercial,2024-02-16,4,16,2,0,0,1,-0.433884,-0.900969,0.866025,0.5,164.3,3,9.7356,9.7123,10.358,16.9
3,commercial,2024-02-18,6,18,2,1,0,1,-0.781831,0.62349,0.866025,0.5,195.0,4,9.618,9.4181,5.975,20.3
3,commercial,2024-02-22,3,22,2,0,0,1,0.433884,-0.900969,0.866025,0.5,251.9,5,8.8551,9.5619,9.722,28.4
3,commercial,2024-04-22,0,22,4,0,0,0,0.0,1.0,0.866025,-0.5,312.6,6,9.1383,9.2985,9.675,34.2
3,commercial,2024-04-25,3,25,4,0,0,0,0.433884,-0.900969,0.866025,-0.5,220.0,7,8.8369,9.2545,8.127,24.9
3,commercial,2024-05-11,5,11,5,1,1,1,-0.974928,-0.222521,0.5,-0.866025,330.7,8,8.8479,9.2584,5.272,37.4
3,commercial,2024-05-28,1,28,5,0,1,1,0.781831,0.62349,0.5,-0.866025,331.1,9,8.9584,9.5043,12.05,37.0
3,commercial,2024-06-10,0,10,6,0,1,1,0.0,1.0,0.0,-1.0,252.4,10,8.621,9.1107,11.723,29.3
